"PLATZ_ID","BEREICH","REGAL","FACH","EBENE","PLATZ_TYP","PLATZ_ART","KAPA","IST_LHM","FREI_LHM","ABC_KLASSE","ZUSTAND"
"032005800","03","20","058","00","P","K","1","1","0","B","150.0"
"031606100","03","16","061","00","P","DK","1","1","0","C",""
"032107000","03","21","070","00","P","K","1","1","0","B",""
"031606502","03","16","065","02","P","R","1","1","0","C",""
"034505505","03","45","055","05","P","R","1","0","1","A","150.0"
"034705405","03","47","054","05","P","R","1","1","0","A","150.0"
"032106300","03","21","063","00","P","K","1","1","0","B",""
"032105400","03","21","054","00","P","K","1","1","0","B",""
"032305104","03","23","051","04","P","R","1","0","1","B",""
"032005700","03","20","057","00","P","K","1","1","0","B","150.0"
"032105002","03","21","050","02","P","R","1","0","1","B",""
"032106600","03","21","066","00","P","K","1","1","0","B",""
"031502400","03","15","024","00","P","DK","1","1","0","C",""
"031502600","03","15","026","00","P","DK","1","1","0","C",""
"034805305","03","48","053","05","P","R","1","1","0","A","150.0"
"032105900","03","21","059","00","P","K","1","1","0","B",""
"034504701","03","45","047","01","P","R","1","0","0","A","150.0"
"031603500","03","16","035","00","P","DK","1","1","0","C",""
"031603600","03","16","036","00","P","DK","1","1","0","C",""
"032501201","03","25","012","01","P","R","1","1","0","A",""
"032800900","03","28","009","00","P","K","1","1","0","A",""
"031906703","03","19","067","03","P","R","1","1","0","C",""
"031902906","03","19","029","06","P","R","1","0","0","C",""
"034504702","03","45","047","02","P","R","1","0","1","A","150.0"
"032203700","03","22","037","00","P","K","1","1","0","B",""
"031606000","03","16","060","00","P","DK","1","1","0","C",""
"030906902","03","09","069","02","P","R","1","0","1","A",""
"030901100","03","09","011","00","P","K","1","1","0","C",""
"030903901","03","09","039","01","P","DK","1","0","1","B",""
"032104100","03","21","041","00","P","K","1","1","0","B",""
"032605601","03","26","056","01","P","R","1","1","0","A",""
"032903900","03","29","039","00","P","K","1","1","0","A",""
"032907600","03","29","076","00","P","K","2","1","1","A","150.0"
"031506000","03","15","060","00","P","DK","1","1","0","C",""
"032204700","03","22","047","00","P","K","1","1","0","B",""
"034504703","03","45","047","03","P","R","1","0","0","A","150.0"
"031905502","03","19","055","02","P","R","1","1","0","C",""
"032904200","03","29","042","00","P","K","1","1","0","A",""
"032204900","03","22","049","00","P","K","1","1","0","B",""
"032501600","03","25","016","00","P","K","1","0","1","A",""
"034504704","03","45","047","04","P","R","1","0","0","A","150.0"
"032705402","03","27","054","02","P","R","1","1","0","A",""
"034504801","03","45","048","01","P","R","1","0","1","A","150.0"
"032501500","03","25","015","00","P","K","1","0","1","A",""
"032205400","03","22","054","00","P","K","1","1","0","B",""
"034504803","03","45","048","03","P","R","1","0","1","A","150.0"
"034100303","03","41","003","03","P","R","1","0","1","B","150.0"
"032306400","03","23","064","00","P","K","1","1","0","B",""
"031803400","03","18","034","00","P","DK","1","1","0","C",""
"032006100","03","20","061","00","P","K","1","1","0","B","150.0"
"032203200","03","22","032","00","P","K","1","1","0","B",""
"032204003","03","22","040","03","P","R","1","1","0","B",""
"031704400","03","17","044","00","P","DK","1","1","0","C",""
"034504804","03","45","048","04","P","R","1","0","1","A","150.0"
"032807104","03","28","071","04","P","R","1","0","1","A",""
"032904500","03","29","045","00","P","K","1","1","0","A",""
"032706000","03","27","060","00","P","K","1","1","0","A",""
"031901300","03","19","013","00","P","K","1","1","0","C",""
"031002500","03","10","025","00","P","DK","1","1","0","B",""
"032601400","03","26","014","00","P","K","1","1","0","A",""
"032304304","03","23","043","04","P","R","1","1","0","B",""
"031804600","03","18","046","00","P","DK","1","1","0","C",""
"031903700","03","19","037","00","P","K","1","1","0","C",""
"032605700","03","26","057","00","P","K","1","1","0","A",""
"032703403","03","27","034","03","P","R","1","0","1","A",""
"034504901","03","45","049","01","P","R","1","0","1","A","150.0"
"032305700","03","23","057","00","P","K","1","1","0","B",""
"034504902","03","45","049","02","P","R","1","0","1","A","150.0"
"032701800","03","27","018","00","P","K","1","1","0","A",""
"034504903","03","45","049","03","P","R","1","0","1","A","150.0"
"032003200","03","20","032","00","P","K","1","1","0","B","150.0"
"032806804","03","28","068","04","P","R","1","1","0","A",""
"034505002","03","45","050","02","P","R","1","1","0","A","150.0"
"032305800","03","23","058","00","P","K","1","1","0","B",""
"032305901","03","23","059","01","P","R","1","1","0","B",""
"032204400","03","22","044","00","P","K","1","1","0","B",""
"032006905","03","20","069","05","P","R","1","1","0","B",""
"034506400","03","45","064","00","P","K","1","0","1","B","150.0"
"032006800","03","20","068","00","P","K","1","1","0","B","150.0"
"032204500","03","22","045","00","P","K","1","1","0","B",""
"030201400","03","02","014","00","P","K","1","0","1","C","150.0"
"032306100","03","23","061","00","P","K","1","1","0","B",""
"032205800","03","22","058","00","P","K","1","1","0","B",""
"030202400","03","02","024","00","P","K","1","0","1","C","150.0"
"032105300","03","21","053","00","P","K","1","1","0","B",""
"032304300","03","23","043","00","P","K","1","1","0","B",""
"030702500","03","07","025","00","P","DK","1","0","1","B",""
"030702504","03","07","025","04","P","R","1","0","1","B",""
"032404800","03","24","048","00","P","K","1","1","0","A",""
"030302100","03","03","021","00","P","K","1","2","0","C","150.0"
"032203100","03","22","031","00","P","K","1","1","0","B",""
"032505904","03","25","059","04","P","R","1","1","0","A",""
"034507300","03","45","073","00","P","K","1","0","1","B","150.0"
"032305103","03","23","051","03","P","R","1","1","0","B",""
"032407000","03","24","070","00","P","K","1","1","0","A",""
"032604704","03","26","047","04","P","R","1","1","0","A",""
"031203801","03","12","038","01","P","DK","1","0","1","C",""
"032404600","03","24","046","00","P","K","1","1","0","A",""
"030804403","03","08","044","03","P","R","1","0","1","B",""
"032404200","03","24","042","00","P","K","1","1","0","A",""
"032203600","03","22","036","00","P","K","1","1","0","B",""
"032304800","03","23","048","00","P","K","1","1","0","B",""
"031005604","03","10","056","04","P","R","1","0","1","A",""
"032204300","03","22","043","00","P","K","1","1","0","B",""
"031606600","03","16","066","00","P","DK","1","1","0","C",""
"031006001","03","10","060","01","P","DK","1","0","1","A",""
"031005804","03","10","058","04","P","R","1","0","1","A",""
"031205003","03","12","050","03","P","R","1","0","1","C",""
"032702300","03","27","023","00","P","K","1","1","0","A",""
"032702403","03","27","024","03","P","R","1","1","0","A",""
"030502400","03","05","024","00","P","K","1","1","0","C","150.0"
"032303200","03","23","032","00","P","K","1","1","0","B",""
"031203301","03","12","033","01","P","DK","1","0","1","C",""
"031203504","03","12","035","04","P","R","1","0","1","C",""
"031202702","03","12","027","02","P","R","1","0","1","C",""
"032303900","03","23","039","00","P","K","1","1","0","B",""
"031203101","03","12","031","01","P","DK","1","0","1","C",""
"031405300","03","14","053","00","P","DK","1","1","0","C",""
"032305504","03","23","055","04","P","R","1","1","0","B",""
"032701300","03","27","013","00","P","K","1","1","0","A",""
"032305400","03","23","054","00","P","K","1","1","0","B",""
"030403001","03","04","030","01","P","K","1","0","1","C","150.0"
"030301901","03","03","019","01","P","K","1","0","1","C","150.0"
"031103201","03","11","032","01","P","DK","1","0","1","B",""
"031202703","03","12","027","03","P","R","1","0","1","C",""
"032304500","03","23","045","00","P","K","1","1","0","B",""
"030503006","03","05","030","06","P","R","1","0","1","C","150.0"
"030801106","03","08","011","06","P","R","1","0","1","C",""
"032805800","03","28","058","00","P","K","1","1","0","A",""
"032806003","03","28","060","03","P","R","1","1","0","A",""
"032603300","03","26","033","00","P","K","1","1","0","A",""
"032503700","03","25","037","00","P","K","1","1","0","A",""
"031202405","03","12","024","05","P","R","1","0","1","C",""
"031201601","03","12","016","01","P","K","1","0","1","C",""
