PLATZ_ID,REGAL,FACH,EBENE,UTILIZATION,HEATMAP_COLOR
030904603,09,46,3,0.0,GREEN
032203010,22,30,10,0.0,GREEN
034505104,45,51,4,0.0,GREEN
034505201,45,52,1,100.0,RED
034505202,45,52,2,100.0,RED
034505203,45,52,3,100.0,RED
032103400,21,34,0,0.0,GREEN
032105004,21,50,4,100.0,RED
034505204,45,52,4,0.0,GREEN
030400601,04,6,1,0.0,GREEN
031001803,10,18,3,0.0,GREEN
032303400,23,34,0,0.0,GREEN
031903405,19,34,5,0.0,GREEN
034604100,46,41,0,100.0,RED
032105700,21,57,0,100.0,RED
032106104,21,61,4,100.0,RED
030605900,06,59,0,200.0,RED
030805101,08,51,1,0.0,GREEN
031004100,10,41,0,200.0,RED
031003502,10,35,2,0.0,GREEN
032603100,26,31,0,100.0,RED
031001900,10,19,0,0.0,GREEN
031904104,19,41,4,100.0,RED
031905900,19,59,0,100.0,RED
031906000,19,60,0,100.0,RED
032105800,21,58,0,100.0,RED
032707101,27,71,1,100.0,RED
031706001,17,60,1,0.0,GREEN
032002003,20,20,3,100.0,RED
032700900,27,9,0,0.0,GREEN
032003801,20,38,1,100.0,RED
034506000,45,60,0,0.0,GREEN
031702900,17,29,0,100.0,RED
031305605,13,56,5,0.0,GREEN
032003902,20,39,2,100.0,RED
032306000,23,60,0,100.0,RED
032007300,20,73,0,100.0,RED
031906200,19,62,0,100.0,RED
031906500,19,65,0,100.0,RED
031406205,14,62,5,0.0,GREEN
032006303,20,63,3,100.0,RED
032903000,29,30,0,0.0,GREEN
030905203,09,52,3,0.0,GREEN
031203004,12,30,4,0.0,GREEN
031406604,14,66,4,0.0,GREEN
032806100,28,61,0,100.0,RED
032806105,28,61,5,0.0,GREEN
032007105,20,71,5,100.0,RED
032801600,28,16,0,0.0,GREEN
032104104,21,41,4,0.0,GREEN
031305001,13,50,1,0.0,GREEN
031305002,13,50,2,200.0,RED
031306003,13,60,3,100.0,RED
032105003,21,50,3,100.0,RED
031405901,14,59,1,0.0,GREEN
032601000,26,10,0,100.0,RED
032900702,29,7,2,0.0,GREEN
030804001,08,40,1,0.0,GREEN
032202403,22,24,3,100.0,RED
032801800,28,18,0,100.0,RED
032104204,21,42,4,100.0,RED
031205900,12,59,0,100.0,RED
031204404,12,44,4,0.0,GREEN
032503300,25,33,0,100.0,RED
032601601,26,16,1,100.0,RED
031103700,11,37,0,200.0,RED
032203605,22,36,5,100.0,RED
032701200,27,12,0,0.0,GREEN
032305705,23,57,5,0.0,GREEN
032406700,24,67,0,100.0,RED
031502300,15,23,0,100.0,RED
031502303,15,23,3,0.0,GREEN
031501800,15,18,0,100.0,RED
032402400,24,24,0,100.0,RED
034101803,41,18,3,0.0,GREEN
032304000,23,40,0,100.0,RED
032205505,22,55,5,0.0,GREEN
034505300,45,53,0,0.0,GREEN
031207004,12,70,4,100.0,RED
032808800,28,88,0,50.0,YELLOW
032207006,22,70,6,0.0,GREEN
032905100,29,51,0,100.0,RED
032304600,23,46,0,100.0,RED
032808400,28,84,0,50.0,YELLOW
030904003,09,40,3,0.0,GREEN
032305501,23,55,1,100.0,RED
034506800,45,68,0,0.0,GREEN
032807200,28,72,0,50.0,YELLOW
032104300,21,43,0,100.0,RED
032207202,22,72,2,100.0,RED
030600406,06,4,6,0.0,GREEN
032305802,23,58,2,100.0,RED
034505800,45,58,0,0.0,GREEN
032100805,21,8,5,100.0,RED
030100203,01,2,3,200.0,RED
032407306,24,73,6,100.0,RED
032700800,27,8,0,0.0,GREEN
032301701,23,17,1,100.0,RED
032908600,29,86,0,50.0,YELLOW
032601700,26,17,0,100.0,RED
032304900,23,49,0,100.0,RED
032504705,25,47,5,0.0,GREEN
032901800,29,18,0,0.0,GREEN
032508700,25,87,0,50.0,YELLOW
032909000,29,90,0,50.0,YELLOW
030702605,07,26,5,0.0,GREEN
032702803,27,28,3,0.0,GREEN
032305100,23,51,0,100.0,RED
032907200,29,72,0,100.0,RED
032704402,27,44,2,0.0,GREEN
032901200,29,12,0,0.0,GREEN
032907100,29,71,0,50.0,YELLOW
030802904,08,29,4,0.0,GREEN
032704902,27,49,2,0.0,GREEN
032903300,29,33,0,100.0,RED
032507900,25,79,0,50.0,YELLOW
032508000,25,80,0,50.0,YELLOW
032907000,29,70,0,50.0,YELLOW
032708400,27,84,0,50.0,YELLOW
032406100,24,61,0,100.0,RED
032307102,23,71,2,100.0,RED
030803005,08,30,5,0.0,GREEN
034604301,46,43,1,0.0,GREEN
032405500,24,55,0,100.0,RED
034604204,46,42,4,0.0,GREEN
030903705,09,37,5,0.0,GREEN
032808700,28,87,0,50.0,YELLOW
032708800,27,88,0,100.0,RED
032808300,28,83,0,50.0,YELLOW
032405400,24,54,0,100.0,RED
032406105,24,61,5,100.0,RED
032807500,28,75,0,50.0,YELLOW
030501101,05,11,1,0.0,GREEN
032405200,24,52,0,100.0,RED
032405805,24,58,5,0.0,GREEN
030902800,09,28,0,100.0,RED
034807005,48,70,5,100.0,RED
034507000,45,70,0,0.0,GREEN
030903806,09,38,6,0.0,GREEN
031206404,12,64,4,0.0,GREEN
031103301,11,33,1,0.0,GREEN
031102600,11,26,0,200.0,RED
031203900,12,39,0,0.0,GREEN
031104000,11,40,0,200.0,RED
032809100,28,91,0,50.0,YELLOW
032609000,26,90,0,50.0,YELLOW
032706600,27,66,0,50.0,YELLOW
032809000,28,90,0,100.0,RED
034505301,45,53,1,400.0,RED
034100403,41,4,3,0.0,GREEN
034100502,41,5,2,0.0,GREEN
034100603,41,6,3,0.0,GREEN
034505302,45,53,2,0.0,GREEN
034505303,45,53,3,0.0,GREEN
034505304,45,53,4,0.0,GREEN
034505401,45,54,1,100.0,RED
034505402,45,54,2,0.0,GREEN
034505403,45,54,3,0.0,GREEN
034505404,45,54,4,0.0,GREEN
034100801,41,8,1,0.0,GREEN
034505501,45,55,1,0.0,GREEN
034100802,41,8,2,0.0,GREEN
